atc;generic_name;adm_route;aware_who;aware_dk
A07AA09;vancomycin;oral;watch ;watch
J01;ANTIBACTERIALS FOR SYSTEMIC USE;;NA;NA
J01A;Tetracycline antibiotics;;NA;NA
J01B;AMPHENICOLS;;NA;NA
J01BA;Amphenicol antibacterials, systemic;;NA;NA
J01BA01;chloramphenicol;;access;access
J01BA02;thiamphenicol;;access;access
J01BA52;thiamphenicol, combinations;;NA;NA
J01C;BETA-LACTAM ANTIBACTERIALS, PENICILLINS;;NA;NA
J01CA;Penicillins with extended spectrum;;NA;NA
J01CA01;ampicillin;;access;access
J01CA02;pivampicillin;;access;access
J01CA03;carbenicillin;;watch;watch
J01CA04;amoxicillin;;access;access
J01CA05;carindacillin;;NA;NA
J01CA06;bacampicillin;;access;access
J01CA07;epicillin;;NA;NA
J01CA08;pivmecillinam;;access;access
J01CA09;azlocillin;;watch;watch
J01CA10;mezlocillin;;watch;watch
J01CA11;mecillinam;;access;access
J01CA12;piperacillin;;watch;watch
J01CA13;ticarcillin;;watch;watch
J01CA14;metampicillin;;NA;NA
J01CA15;talampicillin;;NA;NA
J01CA16;sulbenicillin;;watch;watch
J01CA17;temocillin;;watch;watch
J01CA18;hetacillin;;NA;NA
J01CA19;aspoxicillin;;NA;NA
J01CA20;Penicillins with extended spectrum combinations;;NA;NA
J01CA51;ampicillin, combinations;;NA;NA
J01CE;Beta-lactamase sensitive penicillins;;NA;NA
J01CE01;benzylpenicillin;;access;access
J01CE02;phenoxymethylpenicillin;;access;access
J01CE03;propicillin;;NA;NA
J01CE04;azidocillin;;NA;NA
J01CE05;pheneticillin;;watch;watch
J01CE06;penamecillin;;access;access
J01CE07;clometocillin;;access;access
J01CE08;benzathine benzylpenicillin;;access;access
J01CE09;procaine benzylpenicillin;;access;access
J01CE10;benzathine phenoxymethylpenicillin;;NA;NA
J01CE30;Beta-lactamase sensitive penicillin combinations;;NA;NA
J01CF;Beta-lactamase resistant penicillins;;NA;NA
J01CF01;dicloxacillin;;access;access
J01CF02;cloxacillin;;access;access
J01CF03;meticillin;;NA;NA
J01CF04;oxacillin;;access;access
J01CF05;flucloxacillin;;access;access
J01CF06;nafcillin;;access;access
J01CG;Beta-lactamase inhibitors, systemic penicillins;;NA;NA
J01CG01;sulbactam;;NA;NA
J01CG02;tazobactam;;NA;NA
J01CR;Combinations of penicillins, incl. beta-lactamase inhibitors;;NA;NA
J01CR01;ampicillin and beta-lactamase inhibitor;;access;access
J01CR02;amoxicillin and beta-lactamase inhibitor;;access;watch
J01CR03;ticarcillin and beta-lactamase inhibitor;;NA;NA
J01CR04;sultamicillin;;access;access
J01CR05;piperacillin and beta-lactamase inhibitor;;watch;watch
J01CR50;combinations of penicillins;;NA;NA
J01D;OTHER BETA-LACTAM ANTIBACTERIALS in ATC;;NA;NA
J01DB;First-generation cephalosporins;;NA;NA
J01DB01;cefalexin;;access;access
J01DB02;cefaloridine;;NA;NA
J01DB03;cefalotin;;access;access
J01DB04;cefazolin;;access;access
J01DB05;cefadroxil;;access;access
J01DB06;cefazedone;;access;access
J01DB07;cefatrizine;;access;access
J01DB08;cefapirin;;access;access
J01DB09;cefradine;;access;access
J01DB10;cefacetrile;;access;access
J01DB11;cefroxadine;;access;access
J01DB12;ceftezole;;access;access
J01DC;Second-generation cephalosporins;;NA;NA
J01DC01;cefoxitin;;watch;watch
J01DC02;cefuroxime;;watch;watch
J01DC03;cefamandole;;watch;watch
J01DC04;cefaclor;;watch;watch
J01DC05;cefotetan;;watch;watch
J01DC06;cefonicid;;watch;watch
J01DC07;cefotiam;;watch;watch
J01DC07;cefotiam;;watch;watch
J01DC08;loracarbef;;NA;NA
J01DC09;cefmetazole;;watch;watch
J01DC10;cefprozil;;watch;watch
J01DC11;ceforanide;;watch;watch
J01DC12;cefminox;;watch;watch
J01DC13;cefbuperazone;;watch;watch
J01DC14;flomoxef;;watch;watch
J01DD;Third-generation cephalosporins;;NA;NA
J01DD01;cefotaxime;;watch;watch
J01DD02;ceftazidime;;watch;watch
J01DD03;cefsulodin;;NA;NA
J01DD04;ceftriaxone;;watch;watch
J01DD05;cefmenoxime;;watch;watch
J01DD06;latamoxef;;watch;watch
J01DD07;ceftizoxime;;watch;watch
J01DD08;cefixime;;watch;watch
J01DD09;cefodizime;;watch;watch
J01DD10;cefetamet;;watch;watch
J01DD11;cefpiramide;;watch;watch
J01DD12;cefoperazone;;watch;watch
J01DD13;cefpodoxime;;watch;watch
J01DD14;ceftibuten;;watch;watch
J01DD15;cefdinir;;watch;watch
J01DD16;cefditoren;;watch;watch
J01DD17;cefcapene;;watch;watch
J01DD18;cefteram;;watch;watch
J01DD51;cefotaxime and beta-lactamase inhibitor;;NA;NA
J01DD52;ceftazidime and beta-lactamase inhibitor;;reserve;reserve
J01DD54;ceftriaxone, combinations;;NA;NA
J01DD62;cefoperazone and beta-lactamase inhibitor;;NA;NA
J01DD63;ceftriaxone and beta-lactamase inhibitor;;NA;NA
J01DD64;cefpodoxime and beta-lactamase inhibitor;;NA;NA
J01DE;Fourth-generation cephalosporins;;NA;NA
J01DE01;cefepime;;watch;watch
J01DE02;cefpirome;;watch;watch
J01DE03;cefozopran;;watch;watch
J01DF;Monobactams;;NA;NA
J01DF01;aztreonam;;reserve;reserve
J01DF02;carumonam;;NA;NA
J01DH;Carbapenems;;NA;NA
J01DH02;meropenem;;watch;reserve
J01DH03;ertapenem;;watch;watch
J01DH04;doripenem;;watch;watch
J01DH05;biapenem;;watch;watch
J01DH06;tebipenem pivoxil;;watch;watch
J01DH51;imipenem and cilastatin;;watch;watch
J01DH52;meropenem and vaborbactam;;reserve;reserve
J01DH55;panipenem and betamipron;;NA;NA
J01DH56;imipenem, cilastatin and relebactam;;NA;NA
J01DI;Other cephalosporins and penems in ATC;;NA;NA
J01DI01;ceftobiprole medocaril;;reserve;reserve
J01DI02;ceftaroline fosamil;;NA;reserve
J01DI03;faropenem;;reserve;reserve
J01DI04;cefiderocol;;NA;reserve
J01DI54;ceftolozane and beta-lactamase inhibitor;;reserve;reserve
J01E;SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE;;NA;NA
J01EA;Trimethoprim and derivatives, systemic antibacterials;;NA;NA
J01EA01;trimethoprim;;access;access
J01EA02;brodimoprim;;NA;NA
J01EA03;iclaprim;;NA;NA
J01EB;Short-acting sulfonamides;;NA;NA
J01EB01;sulfaisodimidine;;NA;NA
J01EB02;sulfamethizole;;access;access
J01EB03;sulfadimidine;;NA;NA
J01EB04;sulfapyridine;;NA;access
J01EB05;sulfafurazole;;NA;NA
J01EB06;sulfanilamide;;NA;NA
J01EB07;sulfathiazole;;NA;NA
J01EB08;sulfathiourea;;NA;NA
J01EB20;Short-acting sulfonamide combinations;;NA;NA
J01EC;Intermediate-acting sulfonamides;;NA;NA
J01EC01;sulfamethoxazole;;NA;NA
J01EC02;sulfadiazine;;NA;access
J01EC03;sulfamoxole;;NA;NA
J01EC20;Intermediate-acting sulfonamide combinations;;NA;NA
J01ED;Long-acting sulfonamides;;NA;NA
J01ED01;sulfadimethoxine;;NA;NA
J01ED02;sulfalene;;NA;NA
J01ED03;sulfametomidine;;NA;NA
J01ED04;sulfametoxydiazine;;NA;NA
J01ED05;sulfamethoxypyridazine;;NA;NA
J01ED06;sulfaperin;;NA;NA
J01ED07;sulfamerazine;;NA;NA
J01ED08;sulfaphenazole;;NA;NA
J01ED09;sulfamazone;;NA;NA
J01ED20;Long-acting sulfonamide combinations;;NA;NA
J01EE;Combinations of sulfonamides and trimethoprim, incl. derivatives;;NA;NA
J01EE01;sulfamethoxazole and trimethoprim;;access;access
J01EE02;sulfadiazine and trimethoprim;;access;access
J01EE03;sulfametrole and trimethoprim;;access;access
J01EE04;sulfamoxole and trimethoprim;;access;access
J01EE05;sulfadimidine and trimethoprim;;NA;NA
J01EE06;sulfadiazine and tetroxoprim;;NA;NA
J01EE07;sulfamerazine and trimethoprim;;NA;NA
J01F;MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS;;NA;NA
J01FA;Macrolides;;NA;NA
J01FA01;erythromycin;;watch;watch
J01FA02;spiramycin;;watch;watch
J01FA03;midecamycin;;watch;watch
J01FA05;oleandomycin;;watch;watch
J01FA06;roxithromycin;;watch;watch
J01FA07;josamycin;;watch;watch
J01FA08;troleandomycin;;NA;NA
J01FA09;clarithromycin;;watch;watch
J01FA10;azithromycin;;watch;watch
J01FA11;miocamycin;;NA;NA
J01FA12;rokitamycin;;NA;NA
J01FA13;dirithromycin;;watch;watch
J01FA14;flurithromycin;;NA;NA
J01FA15;telithromycin;;watch;watch
J01FA16;solithromycin;;NA;NA
J01FF;Lincosamides;;NA;NA
J01FF01;clindamycin;;access;access
J01FF02;lincomycin;;watch;watch
J01FG;Streptogramins;;NA;NA
J01FG01;pristinamycin;;watch;watch
J01FG02;quinupristin/dalfopristin;;reserve;reserve
J01G;AMINOGLYCOSIDE ANTIBACTERIALS;;NA;NA
J01GA;Streptomycins;;NA;NA
J01GA01;streptomycin;;watch;watch
J01GA02;streptoduocin;;NA;NA
J01GB;Other aminoglycosides in ATC;;NA;NA
J01GB01;tobramycin;;watch;watch
J01GB03;gentamicin;;access;access
J01GB04;kanamycin;;watch;watch
J01GB05;neomycin;;watch;watch
J01GB06;amikacin;;access;access
J01GB07;netilmicin;;watch;watch
J01GB08;sisomicin;;watch;watch
J01GB09;dibekacin;;watch;watch
J01GB10;ribostamycin;;watch;watch
J01GB11;isepamicin;;watch;watch
J01GB12;arbekacin;;watch;watch
J01GB13;bekanamycin;;NA;NA
J01GB14;plazomicin;;NA;NA
J01M;QUINOLONE ANTIBACTERIALS;;NA;NA
J01MA;Fluoroquinolone antibacterials, systemic;;NA;NA
J01MA01;ofloxacin;;watch;watch
J01MA02;ciprofloxacin;;watch;watch
J01MA03;pefloxacin;;watch;watch
J01MA04;enoxacin;;watch;watch
J01MA05;temafloxacin;;NA;NA
J01MA06;norfloxacin;;watch;watch
J01MA07;lomefloxacin;;watch;watch
J01MA08;fleroxacin;;watch;watch
J01MA09;sparfloxacin;;watch;watch
J01MA10;rufloxacin;;watch;watch
J01MA11;grepafloxacin;;NA;NA
J01MA12;levofloxacin;;watch;watch
J01MA13;trovafloxacin;;NA;NA
J01MA14;moxifloxacin;;watch;watch
J01MA15;gemifloxacin;;watch;watch
J01MA16;gatifloxacin;;watch;watch
J01MA17;prulifloxacin;;watch;watch
J01MA18;pazufloxacin;;watch;watch
J01MA19;garenoxacin;;watch;watch
J01MA21;sitafloxacin;;watch;watch
J01MA22;tosufloxacin;;watch;watch
J01MA23;delafloxacin;;watch;watch
J01MA24;levonadifloxacin;;NA;NA
J01MA25;lascufloxacin;;NA;NA
J01MB;Other quinolones in ATC;;NA;NA
J01MB01;rosoxacin;;NA;NA
J01MB02;nalidixic acid;;NA;NA
J01MB03;piromidic acid;;NA;NA
J01MB04;pipemidic acid;;NA;NA
J01MB05;oxolinic acid;;NA;NA
J01MB06;cinoxacin;;NA;NA
J01MB07;flumequine;;watch;watch
J01MB08;nemonoxacin;;NA;NA
J01R;COMBINATIONS OF ANTIBACTERIALS;;NA;NA
J01RA;Combinations of antibacterials;;NA;NA
J01RA01;penicillins, combinations with other antibacterials;;NA;NA
J01RA02;sulfonamides, combinations with other antibacterials (excl. trimethoprim);;NA;NA
J01RA03;cefuroxime and metronidazole;;NA;NA
J01RA04;spiramycin and metronidazole;;watch;watch
J01RA05;levofloxacin and ornidazole;;NA;NA
J01RA06;cefepime and amikacin;;NA;NA
J01RA07;azithromycin, fluconazole and secnidazole;;NA;NA
J01RA08;tetracycline and oleandomycin;;NA;NA
J01RA09;ofloxacin and ornidazole;;NA;NA
J01RA10;ciprofloxacin and metronidazole;;NA;NA
J01RA11;ciprofloxacin and tinidazole;;NA;NA
J01RA12;ciprofloxacin and ornidazole;;NA;NA
J01RA13;norfloxacin and tinidazole;;NA;NA
J01X;OTHER ANTIBACTERIALS in ATC;;NA;NA
J01XA;Glycopeptide antibacterials;;NA;NA
J01XA01;vancomycin;iv;watch ;watch
J01XA02;teicoplanin;;watch;watch
J01XA03;telavancin;;reserve;reserve
J01XA04;dalbavancin;;reserve;reserve
J01XA05;oritavancin;;reserve;reserve
J01XB;Polymyxins;;NA;NA
J01XB01;colistin;;reserve;reserve
J01XB02;polymyxin B;;reserve;reserve
J01XC;Steroid antibacterials;;NA;NA
J01XC01;fusidic acid;;watch;watch
J01XD;Imidazole derivatives, antibacterial for systemic use;;NA;NA
J01XD01;metronidazole;iv;access;access
J01XD02;tinidazole;;NA;NA
J01XD03;ornidazole;;NA;NA
J01XE;Nitrofuran derivatives, antibacterials for systemic use;;NA;NA
J01XE01;nitrofurantoin;;access;access
J01XE02;nifurtoinol;;NA;NA
J01XE03;furazidin;;NA;NA
J01XE51;nitrofurantoin, combinations;;NA;NA
J01XX;Other antibacterials in ATC;;NA;NA
J01XX01;fosfomycin;oral;reserve;reserve
J01XX01;fosfomycin;iv;watch ;reserve
J01XX02;xibornol;;NA;NA
J01XX03;clofoctol;;watch;watch
J01XX04;spectinomycin;;access;access
J01XX05;methenamine;;NA;NA
J01XX06;mandelic acid;;NA;NA
J01XX07;nitroxoline;;NA;NA
J01XX08;linezolid;;reserve;reserve
J01XX09;daptomycin;;reserve;reserve
J01XX10;bacitracin;;NA;NA
J01XX11;tedizolid;;reserve;reserve
J01XX12;lefamulin;;NA;NA
J01AA;Tetracyclines;;NA;NA
J01AA01;demeclocycline;;NA;NA
J01AA02;doxycycline;;access;access
J01AA03;chlortetracycline;;watch;watch
J01AA04;lymecycline;;watch;watch
J01AA05;metacycline;;watch;watch
J01AA06;oxytetracycline;;watch;watch
J01AA07;tetracycline;;access;access
J01AA08;minocycline;oral;reserve;watch
J01AA08;minocycline;iv;watch ;watch
J01AA09;rolitetracycline;;NA;NA
J01AA10;penimepicycline;;NA;NA
J01AA11;clomocycline;;NA;NA
J01AA12;tigecycline;;reserve;reserve
J01AA13;eravacycline;;reserve;reserve
J01AA14;sarecycline;;NA;NA
J01AA15;omadacycline;;NA;NA
J01AA20;combinations of tetracyclines;;NA;NA
J01AA56;oxytetracycline, combinations;;NA;NA
P01AB01;metronidazole;oral;access;access
